code,effective_date
600026,2006-04-02
600027,2006-04-02
600028,2006-04-02
600029,2006-04-02
600030,2006-04-02
600031,2006-04-02
600033,2006-04-02
600035,2006-04-02
600036,2006-04-02
600037,2006-04-02
600050,2006-04-02
600057,2006-04-02
600058,2006-04-02
600060,2006-04-02
600062,2006-04-02
600068,2006-04-02
600073,2006-04-02
600078,2006-04-02
600085,2006-04-02
600087,2006-04-02
600088,2006-04-02
600089,2006-04-02
600091,2006-04-02
600096,2006-04-02
600098,2006-04-02
600100,2006-04-02
600102,2006-04-02
600103,2006-04-02
600104,2006-04-02
600108,2006-04-02
600110,2006-04-02
600115,2006-04-02
600117,2006-04-02
600121,2006-04-02
600123,2006-04-02
600125,2006-04-02
600126,2006-04-02
600138,2006-04-02
600153,2006-04-02
600166,2006-04-02
600170,2006-04-02
600171,2006-04-02
600177,2006-04-02
600183,2006-04-02
600188,2006-04-02
600190,2006-04-02
600196,2006-04-02
600198,2006-04-02
600200,2006-04-02
600205,2006-04-02
600207,2006-04-02
600210,2006-04-02
600215,2006-04-02
600220,2006-04-02
600221,2006-04-02
600231,2006-04-02
600236,2006-04-02
600256,2006-04-02
600266,2006-04-02
600267,2006-04-02
600269,2006-04-02
600270,2006-04-02
600282,2006-04-02
600296,2006-04-02
600307,2006-04-02
600308,2006-04-02
600309,2006-04-02
600320,2006-04-02
600331,2006-04-02
600333,2006-04-02
600339,2006-04-02
600348,2006-04-02
600350,2006-04-02
600357,2006-04-02
600362,2006-04-02
600377,2006-04-02
600380,2006-04-02
600383,2006-04-02
600399,2006-04-02
600408,2006-04-02
600418,2006-04-02
600428,2006-04-02
600500,2006-04-02
600508,2006-04-02
600519,2006-04-02
600548,2006-04-02
600550,2006-04-02
600569,2006-04-02
600581,2006-04-02
600583,2006-04-02
600585,2006-04-02
600591,2006-04-02
600597,2006-04-02
600598,2006-04-02
600600,2006-04-02
600601,2006-04-02
600602,2006-04-02
600608,2006-04-02
600621,2006-04-02
600631,2006-04-02
600635,2006-04-02
600637,2006-04-02
600639,2006-04-02
600642,2006-04-02
600643,2006-04-02
600649,2006-04-02
600652,2006-04-02
600653,2006-04-02
600654,2006-04-02
600660,2006-04-02
600662,2006-04-02
600663,2006-04-02
600674,2006-04-02
600675,2006-04-02
600688,2006-04-02
600690,2006-04-02
600694,2006-04-02
600705,2006-04-02
600707,2006-04-02
600717,2006-04-02
600718,2006-04-02
600724,2006-04-02
600726,2006-04-02
600739,2006-04-02
600740,2006-04-02
600741,2006-04-02
600744,2006-04-02
600747,2006-04-02
600770,2006-04-02
600779,2006-04-02
600780,2006-04-02
600786,2006-04-02
600790,2006-04-02
600795,2006-04-02
600797,2006-04-02
600805,2006-04-02
600808,2006-04-02
600811,2006-04-02
600812,2006-04-02
600820,2006-04-02
600832,2006-04-02
600835,2006-04-02
600839,2006-04-02
600851,2006-04-02
600854,2006-04-02
600863,2006-04-02
600866,2006-04-02
600868,2006-04-02
600871,2006-04-02
600874,2006-04-02
600879,2006-04-02
600881,2006-04-02
600884,2006-04-02
600886,2006-04-02
600887,2006-04-02
600894,2006-04-02
600895,2006-04-02
600900,2006-04-02
600997,2006-04-02
601607,2006-04-02
000001,2006-04-02
000002,2006-04-02
000009,2006-04-02
000012,2006-04-02
000016,2006-04-02
000021,2006-04-02
000022,2006-04-02
000024,2006-04-02
000027,2006-04-02
000031,2006-04-02
000036,2006-04-02
000039,2006-04-02
000059,2006-04-02
000060,2006-04-02
000061,2006-04-02
000063,2006-04-02
000066,2006-04-02
000068,2006-04-02
000069,2006-04-02
000088,2006-04-02
000089,2006-04-02
000099,2006-04-02
000100,2006-04-02
000157,2006-04-02
000400,2006-04-02
000401,2006-04-02
000402,2006-04-02
000406,2006-04-02
000410,2006-04-02
000422,2006-04-02
000423,2006-04-02
000425,2006-04-02
000429,2006-04-02
000488,2006-04-02
000503,2006-04-02
000507,2006-04-02
000511,2006-04-02
000518,2006-04-02
000520,2006-04-02
000527,2006-04-02
000528,2006-04-02
000533,2006-04-02
000538,2006-04-02
000539,2006-04-02
000541,2006-04-02
000543,2006-04-02
000550,2006-04-02
000559,2006-04-02
000568,2006-04-02
000571,2006-04-02
000573,2006-04-02
000581,2006-04-02
000599,2006-04-02
000601,2006-04-02
000607,2006-04-02
000623,2006-04-02
000625,2006-04-02
000629,2006-04-02
000630,2006-04-02
000636,2006-04-02
000651,2006-04-02
